6
5 1 17 17 17 1 
(0.000172411,-0.000194057)
(-4.72176e-06,-1.39927e-05)
(0,0)
(-1.57581e-05,7.28801e-05)
(0,0)
(0.000161933,2.38695e-05)
(-4.06947e-06,-1.49695e-05)
(0,0)
(-2.56146e-05,7.36082e-05)
(0,0)
(0.000152506,0.000240568)
(-3.62712e-06,-1.58825e-05)
(0,0)
(-3.65731e-05,7.60401e-05)
(0,0)
(0.000158659,7.9547e-05)
(-1.09706e-05,-4.25753e-06)
(0,0)
(7.37018e-06,8.77587e-05)
(0,0)
(0.000165129,-8.16001e-05)
(-1.9597e-05,7.70854e-06)
(0,0)
(5.00619e-05,9.97389e-05)
(0,0)
(0.000140756,-2.41668e-05)
(-1.18299e-05,1.0554e-06)
(0,0)
(7.17721e-05,5.13666e-05)
(0,0)
(0.00011653,3.35466e-05)
(-4.53808e-06,-5.42423e-06)
(0,0)
(9.18094e-05,4.27535e-06)
(0,0)
(0.000138468,-2.11098e-05)
(-6.86393e-06,2.19184e-06)
(0,0)
(6.79151e-05,1.37566e-05)
(0,0)
(0.000161233,-7.60998e-05)
(-9.16707e-06,9.96164e-06)
(0,0)
(4.39756e-05,2.09647e-05)
(0,0)
(0.000105406,-6.01973e-05)
(-6.84379e-06,2.0427e-06)
(0,0)
(7.85607e-05,2.19773e-05)
(0,0)
(5.03164e-05,-4.45077e-05)
(-4.36445e-06,-6.08954e-06)
(0,0)
(0.000112253,2.18461e-05)
(0,0)
(4.89377e-05,-7.286e-05)
(-1.08155e-05,2.92753e-06)
(0,0)
(8.07751e-05,3.94562e-05)
(0,0)
(4.80879e-05,-0.000101479)
(-1.72314e-05,1.1997e-05)
(0,0)
(4.81837e-05,5.69262e-05)
(0,0)
(-4.22784e-06,-9.44836e-05)
(-1.64612e-06,1.49895e-05)
(0,0)
(6.97482e-05,6.01919e-05)
(0,0)
(-5.5859e-05,-8.76637e-05)
(1.36427e-05,1.75713e-05)
(0,0)
(8.96289e-05,6.2542e-05)
(0,0)
(-2.67961e-05,-5.48246e-05)
(6.67768e-06,8.86388e-06)
(0,0)
(8.46359e-05,-8.9351e-05)
(0,0)
(3.05406e-06,-2.12811e-05)
(0,0)
(0,0)
(9.07541e-05,-0.000236491)
(0,0)
(0.00371229,-0.00260339)
(-0.000347116,-0.000573817)
(0,0)
(-0.000383969,0.000352633)
(0,0)
(0.00287178,-0.000188645)
(-4.74371e-05,-0.000471239)
(0,0)
(-0.000462555,0.000278032)
(0,0)
(0.00199461,0.00222974)
(0.000240009,-0.000371806)
(0,0)
(-0.000630906,0.000228796)
(0,0)
(0.00210764,0.000808531)
(0.000110545,-8.95877e-05)
(0,0)
(-0.00034644,0.00073974)
(0,0)
(0.00222914,-0.000661934)
(-6.29983e-06,0.000206385)
(0,0)
(-5.4792e-05,0.00130948)
(0,0)
(0.00171605,-0.000577586)
(-5.58016e-05,0.000128339)
(0,0)
(0.00120433,0.000881837)
(0,0)
(0.00122028,-0.000511968)
(-0.00011778,7.80938e-05)
(0,0)
(0.00253738,0.000318075)
(0,0)
(0.00137374,-0.000597018)
(2.93311e-05,3.94806e-05)
(0,0)
(0.00154645,-0.00131776)
(0,0)
(0.00154024,-0.000661742)
(0.000199752,-2.28326e-05)
(0,0)
(0.000408758,-0.00294954)
(0,0)
(0.00109967,-0.00088888)
(9.58563e-05,-1.67245e-06)
(0,0)
