6
5 1 17 17 17 1 
(-2.69953e-07,-3.28156e-05)
(8.90308e-06,2.68432e-07)
(0,0)
(-1.9564e-05,3.50534e-05)
(0,0)
(-3.26432e-06,-3.02458e-05)
(7.27692e-06,-3.57183e-06)
(0,0)
(-2.4702e-05,3.30885e-05)
(0,0)
(-6.25868e-06,-2.76761e-05)
(5.65075e-06,-7.41208e-06)
(0,0)
(-2.984e-05,3.11235e-05)
(0,0)
(-6.19078e-06,-3.12372e-05)
(-1.73733e-06,1.0523e-06)
(0,0)
(-1.15091e-05,4.54269e-05)
(0,0)
(-6.12287e-06,-3.47983e-05)
(-9.12542e-06,9.51668e-06)
(0,0)
(6.82177e-06,5.97302e-05)
(0,0)
(-1.10871e-05,-2.81393e-05)
(-7.86826e-06,3.51448e-06)
(0,0)
(2.63903e-05,4.16838e-05)
(0,0)
(-1.60513e-05,-2.14803e-05)
(-6.61111e-06,-2.48772e-06)
(0,0)
(4.59589e-05,2.36374e-05)
(0,0)
(-1.38994e-05,-2.34492e-05)
(-5.26583e-06,3.76296e-06)
(0,0)
(3.73299e-05,2.43228e-05)
(0,0)
(-1.17475e-05,-2.5418e-05)
(-3.92054e-06,1.00136e-05)
(0,0)
(2.87008e-05,2.50082e-05)
(0,0)
(-1.65393e-05,-1.92181e-05)
(-3.78381e-06,4.21162e-06)
(0,0)
(3.93878e-05,2.53268e-05)
(0,0)
(-2.13312e-05,-1.30181e-05)
(-3.64708e-06,-1.59041e-06)
(0,0)
(5.00748e-05,2.56455e-05)
(0,0)
(-1.69599e-05,-1.51787e-05)
(-4.10628e-06,5.3201e-06)
(0,0)
(3.03763e-05,3.78051e-05)
(0,0)
(-1.25887e-05,-1.73394e-05)
(-4.56549e-06,1.22306e-05)
(0,0)
(1.06778e-05,4.99646e-05)
(0,0)
(-1.87186e-05,-1.07359e-05)
(4.25245e-06,7.98475e-06)
(0,0)
(5.27671e-06,3.89148e-05)
(0,0)
(-2.48484e-05,-4.13246e-06)
(1.30704e-05,3.73889e-06)
(0,0)
(-1.24358e-07,2.7865e-05)
(0,0)
(-1.68758e-05,-2.20044e-06)
(1.63172e-05,-1.56573e-05)
(0,0)
(7.27973e-08,3.03403e-05)
(0,0)
(-8.90308e-06,-2.68432e-07)
(1.9564e-05,-3.50534e-05)
(0,0)
(2.69953e-07,3.28156e-05)
(0,0)
(0.000513697,-0.00135147)
(9.91041e-05,-0.000175557)
(0,0)
(-0.000193032,0.000274234)
(0,0)
(0.000118264,-0.000965449)
(9.3772e-05,-0.000277478)
(0,0)
(-0.000274433,0.000233502)
(0,0)
(-0.000277168,-0.000579432)
(8.844e-05,-0.000379398)
(0,0)
(-0.000355834,0.000192769)
(0,0)
(1.71861e-05,-0.000896539)
(-3.67269e-06,-0.000162635)
(0,0)
(-0.000152856,0.000468286)
(0,0)
(0.000311541,-0.00121365)
(-9.57854e-05,5.41278e-05)
(0,0)
(5.01221e-05,0.000743802)
(0,0)
(-0.000127436,-0.000917487)
(-0.000110434,-1.32151e-05)
(0,0)
(0.000671566,0.000454532)
(0,0)
(-0.000566412,-0.000621328)
(-0.000125082,-8.0558e-05)
(0,0)
(0.00129301,0.000165263)
(0,0)
(-0.000277226,-0.000698142)
(4.12935e-06,-2.24817e-05)
(0,0)
(0.000893768,-0.000585791)
(0,0)
(1.19606e-05,-0.000774955)
(0.000133341,3.55946e-05)
(0,0)
(0.000494526,-0.00133684)
(0,0)
(-0.000301721,-0.000586205)
(5.24459e-05,-3.48659e-05)
(0,0)
(0.000728346,-0.000712428)
(0,0)
(-0.000615404,-0.000397455)
(-2.84488e-05,-0.000105326)
(0,0)
(0.000962165,-8.8013e-05)
(0,0)
(-0.000374527,-0.000386909)
(-5.07454e-05,-3.74995e-05)
(0,0)
(0.000817188,-9.79103e-05)
(0,0)
(-0.000133651,-0.000376364)
(-7.30419e-05,3.03272e-05)
(0,0)
(0.00067221,-0.000107808)
(0,0)
(-0.000389232,-0.000249154)
(-2.6159e-05,3.33555e-05)
(0,0)
(0.00089757,0.000427431)
(0,0)
(-0.000644812,-0.000121945)
(2.07239e-05,3.63837e-05)
(0,0)
(0.00112293,0.00096267)
(0,0)
(-0.000371958,2.68064e-05)
(0.000106878,-0.000118925)
(0,0)
(0.000304616,0.00115707)
(0,0)
(-9.91041e-05,0.000175557)
(0.000193032,-0.000274234)
(0,0)
(-0.000513697,0.00135147)
(0,0)
(0.00102766,-0.00267012)
(0.000189305,-0.000351383)
(0,0)
(-0.000366501,0.000513414)
(0,0)
(0.000239792,-0.00190065)
(0.000180267,-0.000551383)
(0,0)
(-0.000524165,0.000433915)
(0,0)
(-0.000548078,-0.00113119)
(0.000171229,-0.000751383)
(0,0)
(-0.000681828,0.000354415)
(0,0)
(4.0563e-05,-0.00176184)
(-5.60805e-06,-0.000326322)
(0,0)
(-0.000294203,0.000891145)
(0,0)
(0.000629204,-0.00239249)
(-0.000182445,9.87388e-05)
(0,0)
(9.34224e-05,0.00142787)
(0,0)
(-0.000243785,-0.00180684)
(-0.000212999,-2.99447e-05)
(0,0)
(0.00131674,0.000867381)
(0,0)
(-0.00111677,-0.00122118)
(-0.000243553,-0.000158628)
(0,0)
(0.00254006,0.000306888)
(0,0)
(-0.000540552,-0.00137283)
(1.35245e-05,-4.87264e-05)
(0,0)
(0.00175021,-0.0011959)
(0,0)
(3.56686e-05,-0.00152449)
(0.000270602,6.11755e-05)
(0,0)
(0.000960351,-0.0026987)
(0,0)
(-0.000586904,-0.00115319)
(0.000108676,-7.39433e-05)
(0,0)
(0.0014173,-0.00145018)
(0,0)
(-0.00120948,-0.000781891)
(-5.32505e-05,-0.000209062)
(0,0)
(0.00187426,-0.000201672)
(0,0)
(-0.000732095,-0.00075864)
(-9.73844e-05,-8.03192e-05)
(0,0)
(0.001604,-0.000233626)
(0,0)
(-0.000254714,-0.000735389)
(-0.000141518,4.84239e-05)
(0,0)
(0.00133374,-0.00026558)
(0,0)
(-0.000759745,-0.000487573)
(-5.65705e-05,5.87262e-05)
(0,0)
(0.00178986,0.000815948)
(0,0)
(-0.00126478,-0.000239757)
(2.83774e-05,6.90285e-05)
(0,0)
(0.00224598,0.00189748)
(0,0)
(-0.000727041,5.58132e-05)
(0.000197439,-0.000222193)
(0,0)
(0.00060916,0.0022838)
(0,0)
(-0.000189305,0.000351383)
(0.000366501,-0.000513414)
(0,0)
(-0.00102766,0.00267012)
(0,0)
(-0.00129138,-0.00499487)
(0.00507452,-0.00302461)
(0,0)
(-0.000152346,0.00101865)
(0,0)
(-0.00296332,-0.00385397)
(0.00259593,-0.00339091)
(0,0)
(-0.000632627,0.0011347)
(0,0)
(-0.00463527,-0.00271307)
(0.000117342,-0.00375721)
(0,0)
(-0.00111291,0.00125075)
(0,0)
(-0.00462134,-0.00493959)
(-0.000710815,-0.00213414)
(0,0)
(8.40519e-05,0.00175782)
(0,0)
(-0.00460742,-0.0071661)
(-0.00153897,-0.000511071)
(0,0)
(0.00128101,0.00226489)
(0,0)
(-0.00585205,-0.00548858)
(-0.00124008,8.53452e-05)
(0,0)
(0.00284537,0.00024258)
(0,0)
(-0.00709669,-0.00381105)
(-0.00094118,0.000681761)
(0,0)
(0.00440972,-0.00177973)
(0,0)
(-0.00726102,-0.00419734)
(-0.000676357,0.000677544)
(0,0)
(0.00144172,-0.00346096)
(0,0)
(-0.00742536,-0.00458363)
(-0.000411534,0.000673327)
(0,0)
(-0.00152628,-0.00514219)
(0,0)
(-0.00775358,-0.00404947)
(-0.000284606,0.000375218)
(0,0)
(0.00029153,-0.00358049)
(0,0)
(-0.0080818,-0.0035153)
(-0.000157677,7.71101e-05)
(0,0)
(0.00210934,-0.00201879)
(0,0)
(-0.00757682,-0.00356254)
(-0.000220776,8.73724e-05)
(0,0)
(0.00230582,-0.0017885)
(0,0)
(-0.00707185,-0.00360979)
(-0.000283875,9.76347e-05)
(0,0)
(0.0025023,-0.00155822)
(0,0)
(-0.00744722,-0.00226615)
(-0.000178356,6.29985e-05)
(0,0)
(0.00391238,0.000226505)
(0,0)
(-0.00782258,-0.000922516)
(-7.28368e-05,2.83623e-05)
(0,0)
(0.00532246,0.00201123)
(0,0)
(-0.00644855,0.00105105)
(3.97548e-05,-0.000495144)
(0,0)
(0.00330692,0.00350305)
(0,0)
(-0.00507452,0.00302461)
(0.000152346,-0.00101865)
(0,0)
(0.00129138,0.00499487)
(0,0)
(-0.00361042,-0.00731962)
(0.00995973,-0.00569784)
(0,0)
(6.18082e-05,0.00152389)
(0,0)
(-0.00616643,-0.00580729)
(0.00501159,-0.00623044)
(0,0)
(-0.00074109,0.00183549)
(0,0)
(-0.00872245,-0.00429496)
(6.34548e-05,-0.00676304)
(0,0)
(-0.00154399,0.00214709)
(0,0)
(-0.00928325,-0.00811733)
(-0.00141602,-0.00394196)
(0,0)
(0.000462307,0.00262449)
(0,0)
(-0.00984404,-0.0119397)
(-0.0028955,-0.00112088)
(0,0)
(0.0024686,0.0031019)
(0,0)
(-0.0114603,-0.00917032)
(-0.00226715,0.000200635)
(0,0)
(0.00437399,-0.000382221)
(0,0)
(-0.0130766,-0.00640092)
(-0.00163881,0.00152215)
(0,0)
(0.00627939,-0.00386634)
(0,0)
(-0.0139815,-0.00702185)
(-0.00136624,0.00140381)
(0,0)
(0.00113323,-0.00572601)
(0,0)
(-0.0148864,-0.00764277)
(-0.00109367,0.00128548)
(0,0)
(-0.00401292,-0.00758568)
(0,0)
(-0.0149203,-0.00694575)
(-0.000677887,0.00082438)
(0,0)
